산업안전 대행 [EHS(안전보건환경)] 경력자 구인,월급 | 280만원 ~ 340만원,비정규 | 주5일,08:30 ~ 18:00,"담당업무 :  산업안전 대행 및 EHS, 연구실안전관리 회사의 사업범위는 [위험물, 산업위생, 산업안전, 보건안전, 장외영향평가, 위험성평가, PSM(...",경력10년 | 대졸(2~3년) | ~ 박사 서울특별시
응용 프로그램 개발자,"연봉 | 2,200만원 ~ 5,000만원",정규 | 주5일,08:00 ~ 17:00,"담당업무 :  당사는 정유,석유화학,발전 등 플랜트의 자동화, 정보 시스템을 구축하는 회사로써, Software Package를 도입하여 국내 기업의 실정...",경력무관 | 대졸(2~3년) | ~ 박사 서울특별시
상가관리실 소방 및 전기 설비기사 모집,월급 | 300만원 ~ 330만원,정규 | 주6일,,"담당업무 :  - 꽃상가내 모든 관리시설 수리 및 소방 전기기사 모집 - 소방안전관리 1급 및 전기, 설비, 영선 업무 관련 자격증 소지 우대 - 가족...",경력1년 | 고졸 | ~ 대졸(2~3년) 서울특별시
실내건축업  현장 공사 담당자 모집,"연봉 | 2,700만원 ~ 3,500만원",비정규 | 주6일,,"담당업무 :  건축관련 경력자 환영. 수장공사, 실내인테리어공사, 실내건축 업종 경력자 우대. 건축관련자격증 . 캐드 및 도면 가능자 우대.소지자...",경력무관 | 고졸 | 경상북도 포항시 북구
실내건축업 현장소장급 모집,"연봉 | 4,000만원 ~ 5,000만원",비정규 | 주6일,,"담당업무 :  1. 건축관련 경력자 환영. 2. 수장공사, 인테리어공사, 현장소장 유경험자 3. 프로젝트 계약직이며, 단 프로젝트 만료시 본사와 협의 ...",경력3년 | 고졸 | ~ 대졸(4년) 경상북도
HVAC/Warehouse 기사 모집,월급 | 179만원 ~ 179만원,정규 | 주5일,07:30 ~ 16:30,담당업무 :  당사는 주한미공군의 전쟁예비물자를 관리하는 PAE-Korea(주)입니다. 군기계장비를 정비 및 Warehouse에서 근무할 정비기사를 모집...,경력무관 | 학력무관 | 경기도 수원시 권선구
대기환경기사 및 산업위생관리기사 모집 (신입 환영),"연봉 | 3,000만원 ~ 3,200만원",정규 | 주5일,,"담당업무 :  - 석면관련 분석, 조사, 측정업무. - 급여 신입연봉3,000~3,200만원(경력직 면접 후 협의) - 운전가능자 우대 - 청년내일채움 가능",경력무관 | 고졸 | ~ 대졸(2~3년) 서울특별시
자동화 기계기술자 및 영업 P.M  모집합니다.,"연봉 | 3,000만원 ~ 4,500만원",정규 | 주6일,,담당업무 :  1) 도면해독가능자 2) 현장기계 자동화장비 설치 PM 3) 견적서 대응,경력2년 | 학력무관 | 경상북도 칠곡군 지천면
자동화 기계 설계  모집,"연봉 | 3,000만원 ~ 4,500만원",정규 | 주6일,,담당업무 :  1) 산업자동화 설계 2) 2D/3D 가능자 3) 경력(2년이상) 및 신입사원 모집,경력무관 | 학력무관 | 경상북도 칠곡군 지천면
관리소장 모집,월급 | 250만원 이상,비정규 | 격일,09:00 ~ 18:00,담당업무 :  - 소방안전관리자 1급 - 전기선임가능자,경력무관 | 학력무관 | 서울특별시 강북구 노해로
2020년 정규 토목 기술자 모십니다.,월급 | 300만원 ~ 400만원,정규 | 주6일,08:00 ~ 17:00,담당업무 :  업무 내용 : 토목관련업무 전반,경력무관 | 학력무관 | 제주특별자치도 제주시 번영로
"전기안전대행직원( 남양주시, 양주시, 고양시 등 경기북부지역)",월급 | 150만원 ~ 350만원,시간 | (장기),09:00 ~ 18:00,담당업무 :  전기안전관리대행 점검 이사 소사장 1인분 30~78점 점검 2명 직원 점검직 30~78점 점검 협의(근무일수와 급여 연동) 2명 150~350만원 ...,경력4년 | 학력무관 | 경기도 양주시 외미로
통신감리원(중급) 채용합니다.,월급 | 200만원 이상,정규 | 주5일,09:00 ~ 18:00,담당업무 :  통신공사감리,경력무관 | 대졸(2~3년) | 인천광역시 서구 탁옥로
전기안전대행직원(경기도 남부 수원시 화성시),월급 | 250만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  전기안전관리대행 점검 이사 소사장( 점검지역 수원시 화성시 일원) 소사장 6~10개월분 거래 급여 2,5000,000원 ~ 협의가능 +@ 사무실...",경력4년 | 학력무관 | 경기도 화성시 남여울3길
[충북]전기안전관리대행 정규직원 모집,월급 | 180만원 ~ 300만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  전기안전관리대행직원 모집(연령무관) 전기기사 2년이상 전기산업기사4년이상 이력서 ,자격수첩 지참 서류접수후 면접채용",경력4년 | 학력무관 | 충청북도 청주시 서원구
cctv개발의 기술자 및 연구원,"연봉 | 2,500만원 ~ 3,500만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  카메라 개발 및 연구 기술자 카메라설치 및 통신에 대한 전반적인 업무에 잘 아시는 분 환영,경력5년 | 학력무관 | 전라북도 김제시 서흥공단2길
금형설계 경력자 모집,"연봉 | 4,000만원 이상",정규 | 주5일,,담당업무 :  - 사출금형 설계가능자 - 경력 20년 이상(급여는 협의 가능),경력20년 | 학력무관 | 경기도 부천시 산업로8번길
